0.36,0.58,0.35,0.24,0.5,0.0,0.44,0.22,1.0
0.39,0.81,0.35,0.28,0.5,0.0,0.51,0.45,1.0
0.42,0.51,0.39,0.22,0.5,0.0,0.49,0.26,1.0
0.54,0.44,0.35,0.19,0.5,0.0,0.51,0.27,1.0
0.22,0.53,0.36,0.22,0.5,0.0,0.54,0.31,1.0
0.36,0.49,0.3,0.22,0.5,0.0,0.52,0.31,1.0
0.53,0.51,0.36,0.13,0.5,0.0,0.52,0.22,1.0
0.36,0.35,0.47,0.22,0.5,0.0,0.44,0.31,1.0
0.26,0.5,0.33,0.28,0.5,0.0,0.51,0.22,1.0
0.46,0.48,0.38,0.22,0.5,0.0,0.39,0.45,1.0
0.32,0.36,0.28,0.38,0.5,0.0,0.5,0.4,1.0
0.42,0.24,0.34,0.16,0.5,0.0,0.5,0.22,1.0
0.43,0.41,0.37,0.18,0.5,0.0,0.54,0.31,1.0
0.34,0.42,0.3,0.23,0.5,0.0,0.53,0.22,1.0
0.31,0.3,0.34,0.19,0.5,0.0,0.55,0.3,1.0
0.34,0.4,0.3,0.23,0.5,0.0,0.51,0.22,1.0
0.44,0.51,0.37,0.15,0.5,0.0,0.51,0.22,1.0
0.39,0.63,0.41,0.27,0.5,0.0,0.49,0.22,1.0
0.58,0.6,0.43,0.12,0.5,0.0,0.55,0.22,1.0
0.51,0.46,0.41,0.36,0.5,0.0,0.49,0.22,1.0
0.5,0.47,0.45,0.14,0.5,0.0,0.53,0.32,1.0
0.48,0.46,0.38,0.29,0.5,0.0,0.53,0.22,1.0
0.54,0.55,0.42,0.22,0.5,0.0,0.48,0.22,1.0
0.2,0.34,0.33,0.1,0.5,0.0,0.48,0.31,1.0
0.46,0.4,0.38,0.18,0.5,0.0,0.49,0.22,1.0
0.38,0.45,0.37,0.19,0.5,0.0,0.52,0.3,1.0
0.55,0.39,0.39,0.47,0.5,0.0,0.5,0.83,1.0
0.36,0.5,0.39,0.23,0.5,0.0,0.5,0.22,1.0
0.39,0.37,0.33,0.23,0.5,0.0,0.52,0.26,1.0
0.29,0.26,0.43,0.17,0.5,0.0,0.55,0.3,1.0
0.32,0.45,0.39,0.14,0.5,0.0,0.45,0.22,1.0
0.35,0.56,0.36,0.3,0.5,0.0,0.53,0.25,1.0
0.45,0.57,0.3,0.17,0.5,0.0,0.51,0.22,1.0
0.42,0.51,0.33,0.16,0.5,0.0,0.54,0.22,1.0
0.37,0.62,0.34,0.25,0.5,0.0,0.51,0.22,1.0
0.43,0.44,0.3,0.18,0.5,0.0,0.51,0.22,1.0
0.27,0.41,0.24,0.2,0.5,0.0,0.49,0.22,1.0
0.35,0.45,0.43,0.11,0.5,0.0,0.56,0.22,1.0
0.3,0.37,0.4,0.45,0.5,0.0,0.48,0.41,1.0
0.25,0.35,0.22,0.18,0.5,0.0,0.46,0.22,1.0
0.38,0.37,0.36,0.14,0.5,0.0,0.54,0.22,1.0
0.3,0.68,0.41,0.17,0.5,0.0,0.51,0.22,1.0
0.27,0.49,0.36,0.26,0.5,0.0,0.49,0.26,1.0
0.49,0.4,0.34,0.26,0.5,0.0,0.5,0.22,1.0
0.63,0.65,0.42,0.18,0.5,0.0,0.54,0.27,1.0
0.44,0.43,0.34,0.21,0.5,0.0,0.55,0.4,1.0
0.49,0.31,0.43,0.24,0.5,0.0,0.54,0.22,1.0
0.55,0.42,0.34,0.3,0.5,0.0,0.52,0.22,1.0
0.36,0.46,0.43,0.19,0.5,0.0,0.48,0.22,1.0
0.37,0.55,0.29,0.32,0.5,0.0,0.51,0.22,1.0
0.4,0.65,0.38,0.17,0.5,0.0,0.57,0.22,1.0
0.38,0.56,0.38,0.16,0.5,0.0,0.53,0.22,1.0
0.36,0.33,0.38,0.15,0.5,0.0,0.55,0.36,1.0
0.49,0.41,0.32,0.21,0.5,0.0,0.5,0.32,1.0
0.32,0.36,0.34,0.19,0.5,0.0,0.55,0.26,1.0
0.41,0.54,0.39,0.2,0.5,0.0,0.51,0.22,1.0
0.51,0.51,0.32,0.27,0.5,0.0,0.54,0.22,1.0
0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,1.0
0.37,0.34,0.32,0.22,0.5,0.0,0.56,0.22,1.0
0.52,0.65,0.36,0.37,0.5,0.0,0.52,0.34,1.0
0.48,0.43,0.45,0.17,0.5,0.0,0.48,0.37,1.0
0.33,0.28,0.31,0.24,0.5,0.0,0.53,0.22,1.0
0.3,0.5,0.34,0.26,0.5,0.0,0.51,0.22,1.0
0.54,0.44,0.38,0.22,0.5,0.0,0.54,0.3,1.0
0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,1.0
0.52,0.75,0.37,0.14,0.5,0.0,0.46,0.22,1.0
0.49,0.49,0.4,0.2,0.5,0.0,0.48,0.26,1.0
0.51,0.63,0.3,0.35,0.5,0.0,0.53,0.27,1.0
0.43,0.28,0.41,0.32,0.5,0.0,0.52,0.22,1.0
0.46,0.61,0.38,0.35,0.5,0.0,0.49,0.22,1.0
0.45,0.48,0.63,0.67,0.5,0.0,0.48,0.22,-1.0
0.45,0.56,0.49,0.17,0.5,0.0,0.52,0.22,-1.0
0.51,0.46,0.49,0.21,0.5,0.0,0.55,0.22,-1.0
0.46,0.57,0.52,0.28,0.5,0.0,0.52,0.22,-1.0
0.78,0.7,0.32,0.23,0.5,0.0,0.53,0.22,-1.0
0.35,0.21,1.0,0.8,0.5,0.0,0.13,0.01,-1.0
0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,-1.0
0.62,0.41,0.52,0.17,0.5,0.0,0.48,0.22,-1.0
